price,time_stamp (yyyymmdd hhmmss)
1.08313,20150309 000000
1.08421,20150306 230000
1.08489,20150306 220000
1.08558,20150306 210000
1.08532,20150306 200000
1.0855,20150306 190000
1.08542,20150306 180000
1.086,20150306 170000
1.08571,20150306 160000
1.08958,20150306 150000
1.09709,20150306 140000
1.09383,20150306 130000
1.09705,20150306 120000
1.09673,20150306 110000
1.09964,20150306 100000
1.10239,20150306 090000
1.10151,20150306 080000
1.10225,20150306 070000
1.10252,20150306 060000
1.10273,20150306 050000
1.10235,20150306 040000
1.10267,20150306 030000
1.10202,20150306 020000
1.10318,20150306 010000
1.10314,20150306 000000
1.10271,20150305 230000
1.10281,20150305 220000
1.10261,20150305 210000
1.10233,20150305 200000
1.10172,20150305 190000
1.10057,20150305 180000
1.10322,20150305 170000
1.10306,20150305 160000
1.10352,20150305 150000
1.10617,20150305 140000
1.10492,20150305 130000
1.10528,20150305 120000
1.10361,20150305 110000
1.10444,20150305 100000
1.10515,20150305 090000
1.10354,20150305 080000
1.10554,20150305 070000
1.10602,20150305 060000
1.10687,20150305 050000
1.10733,20150305 040000
1.10718,20150305 030000
1.10803,20150305 020000
1.10792,20150305 010000
1.10808,20150305 000000
1.10786,20150304 230000
1.10755,20150304 220000
1.10738,20150304 210000
1.10679,20150304 200000
1.10723,20150304 190000
1.1069,20150304 180000
1.10675,20150304 170000
1.10971,20150304 160000
1.11339,20150304 150000
1.11229,20150304 140000
1.11278,20150304 130000
1.11254,20150304 120000
1.11308,20150304 110000
1.11355,20150304 100000
1.11765,20150304 090000
1.11686,20150304 080000
1.11688,20150304 070000
1.11678,20150304 060000
1.11739,20150304 050000
1.11759,20150304 040000
1.11791,20150304 030000
1.11816,20150304 020000
1.11823,20150304 010000
1.11802,20150304 000000
1.11759,20150303 230000
1.11758,20150303 220000
1.11777,20150303 210000
1.11928,20150303 200000
1.12019,20150303 190000
1.12123,20150303 180000
1.1186,20150303 170000
1.11991,20150303 160000
1.11697,20150303 150000
1.11647,20150303 140000
1.11584,20150303 130000
1.11723,20150303 120000
1.11717,20150303 110000
1.11878,20150303 100000
1.12054,20150303 090000
1.11969,20150303 080000
1.11976,20150303 070000
1.11982,20150303 060000
1.11885,20150303 050000
1.11938,20150303 040000
1.11936,20150303 030000
1.11823,20150303 020000
1.11763,20150303 010000
1.1179,20150303 000000
1.11831,20150302 230000
1.11818,20150302 220000
1.11867,20150302 210000
1.11928,20150302 200000
1.11773,20150302 190000
1.11884,20150302 180000
1.11937,20150302 170000
1.12159,20150302 160000
1.12233,20150302 150000
1.12193,20150302 140000
1.12243,20150302 130000
1.12157,20150302 120000
1.12152,20150302 110000
1.11923,20150302 100000
1.11793,20150302 090000
1.11738,20150302 080000
1.11825,20150302 070000
1.11789,20150302 060000
1.11759,20150302 050000
1.11715,20150302 040000
1.11724,20150302 030000
1.11664,20150302 020000
1.11605,20150302 010000
1.11807,20150302 000000
