price,time_stamp (yyyymmdd hhmmss)
1.08308,20150309 000000
1.08418,20150306 230000
1.08492,20150306 220000
1.08561,20150306 210000
1.0853,20150306 200000
1.08553,20150306 190000
1.08541,20150306 180000
1.08603,20150306 170000
1.08573,20150306 160000
1.0896,20150306 150000
1.09706,20150306 140000
1.09383,20150306 130000
1.09702,20150306 120000
1.09672,20150306 110000
1.0996,20150306 100000
1.10239,20150306 090000
1.10151,20150306 080000
1.10222,20150306 070000
1.10254,20150306 060000
1.10276,20150306 050000
1.10236,20150306 040000
1.10263,20150306 030000
1.102,20150306 020000
1.10314,20150306 010000
1.10313,20150306 000000
1.10275,20150305 230000
1.1028,20150305 220000
1.10262,20150305 210000
1.10229,20150305 200000
1.10174,20150305 190000
1.10055,20150305 180000
1.10324,20150305 170000
1.1031,20150305 160000
1.10351,20150305 150000
1.10618,20150305 140000
1.10491,20150305 130000
1.10529,20150305 120000
1.10363,20150305 110000
1.10443,20150305 100000
1.10515,20150305 090000
1.10354,20150305 080000
1.10554,20150305 070000
1.10606,20150305 060000
1.10683,20150305 050000
1.10736,20150305 040000
1.10715,20150305 030000
1.10801,20150305 020000
1.10787,20150305 010000
1.10803,20150305 000000
1.10787,20150304 230000
1.10756,20150304 220000
1.1074,20150304 210000
1.10683,20150304 200000
1.10721,20150304 190000
1.1069,20150304 180000
1.1068,20150304 170000
1.10971,20150304 160000
1.1134,20150304 150000
1.11232,20150304 140000
1.11279,20150304 130000
1.11252,20150304 120000
1.11312,20150304 110000
1.11355,20150304 100000
1.11765,20150304 090000
1.11684,20150304 080000
1.11688,20150304 070000
1.11675,20150304 060000
1.11738,20150304 050000
1.11758,20150304 040000
1.11787,20150304 030000
1.11814,20150304 020000
1.11827,20150304 010000
1.11801,20150304 000000
1.11755,20150303 230000
1.11754,20150303 220000
1.11777,20150303 210000
1.11925,20150303 200000
1.12015,20150303 190000
1.12121,20150303 180000
1.11856,20150303 170000
1.11991,20150303 160000
1.11696,20150303 150000
1.11646,20150303 140000
1.11586,20150303 130000
1.11724,20150303 120000
1.11719,20150303 110000
1.11877,20150303 100000
1.12054,20150303 090000
1.11968,20150303 080000
1.11978,20150303 070000
1.1198,20150303 060000
1.11885,20150303 050000
1.11942,20150303 040000
1.11933,20150303 030000
1.1182,20150303 020000
1.11765,20150303 010000
1.1179,20150303 000000
1.11836,20150302 230000
1.11821,20150302 220000
1.11865,20150302 210000
1.11928,20150302 200000
1.11771,20150302 190000
1.11886,20150302 180000
1.11941,20150302 170000
1.12156,20150302 160000
1.12235,20150302 150000
1.12196,20150302 140000
1.12245,20150302 130000
1.12159,20150302 120000
1.12151,20150302 110000
1.11924,20150302 100000
1.11792,20150302 090000
1.11742,20150302 080000
1.11827,20150302 070000
1.1179,20150302 060000
1.11757,20150302 050000
1.11714,20150302 040000
1.11729,20150302 030000
1.11668,20150302 020000
1.11608,20150302 010000
1.11809,20150302 000000
