price,time_stamp (yyyymmdd hhmmss)
1.09451,2015-03-24 00:00:00
1.09454,2015-03-23 23:00:00
1.09635,2015-03-23 22:00:00
1.09445,2015-03-23 21:00:00
1.09312,2015-03-23 20:00:00
1.09152,2015-03-23 19:00:00
1.09272,2015-03-23 18:00:00
1.09261,2015-03-23 17:00:00
1.09209,2015-03-23 16:00:00
1.08989,2015-03-23 15:00:00
1.08943,2015-03-23 14:00:00
1.08628,2015-03-23 13:00:00
1.08134,2015-03-23 12:00:00
1.07905,2015-03-23 11:00:00
1.07906,2015-03-23 10:00:00
1.08035,2015-03-23 09:00:00
1.08156,2015-03-23 08:00:00
1.08169,2015-03-23 07:00:00
1.08088,2015-03-23 06:00:00
1.07871,2015-03-23 05:00:00
1.08063,2015-03-23 04:00:00
1.08115,2015-03-23 03:00:00
1.08252,2015-03-23 02:00:00
1.08389,2015-03-23 01:00:00
1.08678,2015-03-23 00:00:00
1.08253,2015-03-20 23:00:00
1.08087,2015-03-20 22:00:00
1.08108,2015-03-20 21:00:00
1.08451,2015-03-20 20:00:00
1.08406,2015-03-20 19:00:00
1.079,2015-03-20 18:00:00
1.07753,2015-03-20 17:00:00
1.07988,2015-03-20 16:00:00
1.07507,2015-03-20 15:00:00
1.07137,2015-03-20 14:00:00
1.06923,2015-03-20 13:00:00
1.06733,2015-03-20 12:00:00
1.06869,2015-03-20 11:00:00
1.06694,2015-03-20 10:00:00
1.06683,2015-03-20 09:00:00
1.06884,2015-03-20 08:00:00
1.06801,2015-03-20 07:00:00
1.06835,2015-03-20 06:00:00
1.06879,2015-03-20 05:00:00
1.06946,2015-03-20 04:00:00
1.06694,2015-03-20 03:00:00
1.06687,2015-03-20 02:00:00
1.06685,2015-03-20 01:00:00
1.06569,2015-03-20 00:00:00
1.06587,2015-03-19 23:00:00
1.06439,2015-03-19 22:00:00
1.06391,2015-03-19 21:00:00
1.06347,2015-03-19 20:00:00
1.06337,2015-03-19 19:00:00
1.06207,2015-03-19 18:00:00
1.06522,2015-03-19 17:00:00
1.06561,2015-03-19 16:00:00
1.06618,2015-03-19 15:00:00
1.06997,2015-03-19 14:00:00
1.06928,2015-03-19 13:00:00
1.06889,2015-03-19 12:00:00
1.06575,2015-03-19 11:00:00
1.071,2015-03-19 10:00:00
1.0786,2015-03-19 09:00:00
1.07721,2015-03-19 08:00:00
1.07633,2015-03-19 07:00:00
1.07691,2015-03-19 06:00:00
1.07939,2015-03-19 05:00:00
1.08461,2015-03-19 04:00:00
1.08856,2015-03-19 03:00:00
1.08486,2015-03-19 02:00:00
1.08232,2015-03-19 01:00:00
1.08272,2015-03-19 00:00:00
1.08633,2015-03-18 23:00:00
1.08367,2015-03-18 22:00:00
1.07387,2015-03-18 21:00:00
1.06524,2015-03-18 20:00:00
1.06565,2015-03-18 19:00:00
1.06421,2015-03-18 18:00:00
1.06097,2015-03-18 17:00:00
1.06107,2015-03-18 16:00:00
1.05926,2015-03-18 15:00:00
1.06005,2015-03-18 14:00:00
1.06249,2015-03-18 13:00:00
1.06098,2015-03-18 12:00:00
1.06088,2015-03-18 11:00:00
1.0613,2015-03-18 10:00:00
1.05939,2015-03-18 09:00:00
1.05798,2015-03-18 08:00:00
1.06011,2015-03-18 07:00:00
1.06059,2015-03-18 06:00:00
1.06078,2015-03-18 05:00:00
1.06088,2015-03-18 04:00:00
1.06056,2015-03-18 03:00:00
1.05945,2015-03-18 02:00:00
1.05934,2015-03-18 01:00:00
1.05973,2015-03-18 00:00:00
1.05971,2015-03-17 23:00:00
1.05892,2015-03-17 22:00:00
1.05989,2015-03-17 21:00:00
1.05953,2015-03-17 20:00:00
1.0595,2015-03-17 19:00:00
1.06044,2015-03-17 18:00:00
1.0618,2015-03-17 17:00:00
1.06363,2015-03-17 16:00:00
1.06157,2015-03-17 15:00:00
1.06152,2015-03-17 14:00:00
1.06146,2015-03-17 13:00:00
1.06076,2015-03-17 12:00:00
1.05871,2015-03-17 11:00:00
1.06125,2015-03-17 10:00:00
1.05824,2015-03-17 09:00:00
1.05579,2015-03-17 08:00:00
1.05672,2015-03-17 07:00:00
1.05627,2015-03-17 06:00:00
1.05708,2015-03-17 05:00:00
1.05593,2015-03-17 04:00:00
1.05623,2015-03-17 03:00:00
1.05715,2015-03-17 02:00:00
1.05703,2015-03-17 01:00:00
1.05675,2015-03-17 00:00:00
1.05642,2015-03-16 23:00:00
1.0574,2015-03-16 22:00:00
1.05831,2015-03-16 21:00:00
1.05908,2015-03-16 20:00:00
1.06128,2015-03-16 19:00:00
1.0575,2015-03-16 18:00:00
1.05637,2015-03-16 17:00:00
1.05977,2015-03-16 16:00:00
1.05458,2015-03-16 15:00:00
1.05265,2015-03-16 14:00:00
1.05313,2015-03-16 13:00:00
1.05365,2015-03-16 12:00:00
1.05357,2015-03-16 11:00:00
1.05322,2015-03-16 10:00:00
1.05275,2015-03-16 09:00:00
1.0525,2015-03-16 08:00:00
1.05089,2015-03-16 07:00:00
1.05196,2015-03-16 06:00:00
1.05181,2015-03-16 05:00:00
1.05271,2015-03-16 04:00:00
1.04979,2015-03-16 03:00:00
1.04837,2015-03-16 02:00:00
1.04992,2015-03-16 01:00:00
1.04867,2015-03-16 00:00:00
1.04889,2015-03-13 23:00:00
1.04782,2015-03-13 22:00:00
1.04728,2015-03-13 21:00:00
1.04916,2015-03-13 20:00:00
1.05119,2015-03-13 19:00:00
1.05226,2015-03-13 18:00:00
1.05137,2015-03-13 17:00:00
1.05325,2015-03-13 16:00:00
1.0583,2015-03-13 15:00:00
1.05664,2015-03-13 14:00:00
1.05817,2015-03-13 13:00:00
1.06084,2015-03-13 12:00:00
1.06183,2015-03-13 11:00:00
1.06105,2015-03-13 10:00:00
1.0579,2015-03-13 09:00:00
1.06006,2015-03-13 08:00:00
1.06043,2015-03-13 07:00:00
1.06144,2015-03-13 06:00:00
1.06126,2015-03-13 05:00:00
1.06094,2015-03-13 04:00:00
1.06077,2015-03-13 03:00:00
1.06264,2015-03-13 02:00:00
1.06221,2015-03-13 01:00:00
1.06246,2015-03-13 00:00:00
1.06347,2015-03-12 23:00:00
1.06182,2015-03-12 22:00:00
1.05989,2015-03-12 21:00:00
1.06083,2015-03-12 20:00:00
1.06003,2015-03-12 19:00:00
1.06136,2015-03-12 18:00:00
1.06378,2015-03-12 17:00:00
1.06141,2015-03-12 16:00:00
1.0641,2015-03-12 15:00:00
1.06386,2015-03-12 14:00:00
1.06188,2015-03-12 13:00:00
1.06004,2015-03-12 12:00:00
1.05971,2015-03-12 11:00:00
1.06348,2015-03-12 10:00:00
1.0568,2015-03-12 09:00:00
1.05295,2015-03-12 08:00:00
1.05124,2015-03-12 07:00:00
1.04966,2015-03-12 06:00:00
1.05076,2015-03-12 05:00:00
1.05324,2015-03-12 04:00:00
1.05501,2015-03-12 03:00:00
1.05475,2015-03-12 02:00:00
1.05507,2015-03-12 01:00:00
1.05447,2015-03-12 00:00:00
1.0547,2015-03-11 23:00:00
1.05394,2015-03-11 22:00:00
1.0533,2015-03-11 21:00:00
1.05317,2015-03-11 20:00:00
1.05729,2015-03-11 19:00:00
1.05744,2015-03-11 18:00:00
1.05745,2015-03-11 17:00:00
1.06009,2015-03-11 16:00:00
1.05976,2015-03-11 15:00:00
1.06018,2015-03-11 14:00:00
1.05732,2015-03-11 13:00:00
1.06015,2015-03-11 12:00:00
1.0645,2015-03-11 11:00:00
1.06837,2015-03-11 10:00:00
1.06935,2015-03-11 09:00:00
1.06888,2015-03-11 08:00:00
1.06809,2015-03-11 07:00:00
1.06824,2015-03-11 06:00:00
1.06853,2015-03-11 05:00:00
1.07046,2015-03-11 04:00:00
1.07025,2015-03-11 03:00:00
1.07069,2015-03-11 02:00:00
1.06861,2015-03-11 01:00:00
1.06795,2015-03-11 00:00:00
1.06974,2015-03-10 23:00:00
1.06997,2015-03-10 22:00:00
1.06968,2015-03-10 21:00:00
1.07186,2015-03-10 20:00:00
1.07182,2015-03-10 19:00:00
1.0706,2015-03-10 18:00:00
1.07573,2015-03-10 17:00:00
1.07683,2015-03-10 16:00:00
1.0743,2015-03-10 15:00:00
1.07327,2015-03-10 14:00:00
