headline,time_stamp (yyyymmdd hhmmss)
"Nymex May oil rises 37 cents, or 0.7%, to close at $50.79 a barrel",20150409 183256
"Gold drops $9.50, or 0.8%, to settle at $1,193.60/oz",20150409 174706
Weak 30-year Treasury auction sparks selloff in the market,20150409 171403
Euro falls to 3-week low of $1.0657,20150409 161952
Stoxx Europe 600 ends at all-time closing high of 409.15,20150409 154208
AMC Entertainment downgraded to neutral from buy at MKM Partners,20150409 143147
U.S. wholesale inventories rise 0.3% in February,20150409 140117
Alcoa shares drop 2.7%,20150409 133224
Bed Bath & Beyond shares fall 3.7%,20150409 133203
S&P 500 flat; Nasdaq Composite up 0.1%,20150409 133154
