headline,time_stamp (yyyymmdd hhmmss)
"May oil up $1.38, or 2.7%, to settle at $53.29/bbl on Nymex",20150414 183623
Nymex oil futures settle at highest level in a week,20150414 183623
"June gold down $6.70, or 0.6%, to settle at $1,192.60/oz on Comex",20150414 175236
Comex gold marks lowest settlement month to date,20150414 175236
Avon Products exploring strategic alternatives: WSJ,20150414 174637
Avon Products shares up 13% in afternoon trade,20150414 174551
"Nymex oil futures gain more ground, tap highs above $53/bbl",20150414 143406
"Zillow's stock down 4.4%, paring earlier loss of as much as 13%",20150414 141417
U.S. February business inventories up 0.3%,20150414 140047
Zillow's stock hits 13-month low after sales outlook disappoints,20150414 135722
