headline,time_stamp (yyyymmdd hhmmss)
China stocks now rebounding; Shanghai up 0.3%,20150415 020959
China stocks now rebounding; Hang Seng Index up 0.2%,20150415 020949
Australia dollar eases to 75.95 U.S. cents vs. 76.09 cents,20150415 020617
Shanghai Composite holds to 0.1% loss after data,20150415 020543
"Hong Kong Hang Seng Index trims gain after data, up 0.1% vs. 0.2%",20150415 020519
China March retail sales growth slows to 10.2% vs. 10.7%,20150415 020427
China March industrial output growth slows to 5.6% vs. 6.8%,20150415 020232
"China Q1 GDP up 7%, roughly in line with forecast",20150415 020053
Alibaba Health surges 86% after parent injects $2.5 billion,20150415 013416
"Shanghai Composite flat at 4,135.65",20150415 013004
